[Name]
Ercoftac test data HD2_Re70000

[Data]
x,Total surface Heat Flux x [ W/m2 ]
0.0, 1802.8263908256179
0.0030511811023622047, 1723.4323177602573
0.006200787401574804, 1562.7077308230648
0.007677165354330709, 1458.1399272735662
0.009251968503937008, 1247.0678793680966
0.010826771653543309, 1179.2924511415695
0.012303149606299213, 1252.8772017875128
0.012893700787401575, 1355.5085645305396
0.015551181102362206, 1556.8984084036483
0.01673228346456693, 1651.784007920786
0.019192913385826772, 1742.7967258249794
0.021751968503937007, 1655.6568895337307
0.023622047244094488, 1558.8348492101206
0.028543307086614175, 1357.4450053370117
0.031791338582677166, 1247.0678793680966
0.0328740157480315, 1179.2924511415695
0.043405511811023624, 865.5890404930731
0.04645669291338583, 803.6229346859628
0.04970472440944882, 743.5932696853246


